"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDTCEUS","197301","12.159","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197302","10.993","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197303","12.172","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197304","11.768","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197305","12.159","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197306","11.766","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197307","12.158","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197308","12.169","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197309","11.782","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197310","12.172","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197311","11.771","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197312","12.165","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197313","143.234","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197401","12.255","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197402","11.064","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197403","12.248","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197404","11.86","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197405","12.256","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197406","11.859","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197407","12.245","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197408","12.248","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197409","11.861","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197410","12.247","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197411","11.852","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197412","12.246","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197413","144.242","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197501","11.925","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197502","10.771","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197503","11.925","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197504","11.539","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197505","11.925","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197506","11.542","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197507","11.924","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197508","11.925","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197509","11.542","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197510","11.927","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197511","11.541","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197512","11.926","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197513","140.412","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197601","13.593","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197602","12.715","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197603","13.593","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197604","13.154","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197605","13.593","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197606","13.155","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197607","13.591","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197608","13.593","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"WDTCEUS","197609","13.157","1","Wood CO2 Emissions","Million Metric Tons of Carbon Dioxide"
