"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCEUS","198005","0.594","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198006","0.47","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198007","0.582","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198008","0.549","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198009","0.73","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198010","0.995","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198011","1.053","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198012","1.347","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198013","10.976","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198101","1.586","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198102","1.262","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198103","0.84","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198104","0.996","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198105","0.833","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198106","0.532","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198107","0.762","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198108","0.813","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
