city,latitude,longitude,year,month,day,temperature
New York,40.6943,-73.9249,2018,4,21,11.17
New York,40.6943,-73.9249,2018,4,22,10.88
New York,40.6943,-73.9249,2018,4,23,11.51
New York,40.6943,-73.9249,2018,4,24,12.81
New York,40.6943,-73.9249,2018,4,25,14.37
New York,40.6943,-73.9249,2018,4,26,12.27
New York,40.6943,-73.9249,2018,4,27,11.81
New York,40.6943,-73.9249,2018,4,28,11.37
New York,40.6943,-73.9249,2018,4,29,9.43
New York,40.6943,-73.9249,2018,4,30,14.08
New York,40.6943,-73.9249,2018,5,1,20.58
New York,40.6943,-73.9249,2018,5,2,22.76
New York,40.6943,-73.9249,2018,5,3,21.6
New York,40.6943,-73.9249,2018,5,4,19.84
New York,40.6943,-73.9249,2018,5,5,16.17
New York,40.6943,-73.9249,2018,5,6,15.95
New York,40.6943,-73.9249,2018,5,7,15.47
New York,40.6943,-73.9249,2018,5,8,15.83
New York,40.6943,-73.9249,2018,5,9,15.17
New York,40.6943,-73.9249,2018,5,10,18.27
New York,40.6943,-73.9249,2018,5,11,14.53
New York,40.6943,-73.9249,2018,5,12,11.9
New York,40.6943,-73.9249,2018,5,13,13.94
New York,40.6943,-73.9249,2018,5,14,20.02
New York,40.6943,-73.9249,2018,5,15,16.81
New York,40.6943,-73.9249,2018,5,16,15.88
New York,40.6943,-73.9249,2018,5,17,17.05
New York,40.6943,-73.9249,2018,5,18,12.46
New York,40.6943,-73.9249,2018,5,19,19.36
New York,40.6943,-73.9249,2018,5,20,19.27
New York,40.6943,-73.9249,2018,5,21,16.65
New York,40.6943,-73.9249,2018,5,22,18.51
New York,40.6943,-73.9249,2018,5,23,21.58
New York,40.6943,-73.9249,2018,5,24,22.14
New York,40.6943,-73.9249,2018,5,25,24.85
New York,40.6943,-73.9249,2018,5,26,19.41
New York,40.6943,-73.9249,2018,5,27,15.45
New York,40.6943,-73.9249,2018,5,28,21.14
New York,40.6943,-73.9249,2018,5,29,19.47
New York,40.6943,-73.9249,2018,5,30,17.89
New York,40.6943,-73.9249,2018,5,31,20.48
New York,40.6943,-73.9249,2018,6,1,23.87
New York,40.6943,-73.9249,2018,6,2,17.65
